(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(integer),(-),(-),(-),(g*min^-1*x^sec^-1),(L*min^-1*x^sec^-1),(integer),(integer),(integer),(V),(bool),(bool),(bool),(bool),(bool)
SampleTime,UnixTime,UTCDateTime,VolFlow,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,gpsspeed,gpsquality,GPSpdop,GPShdop,GPSvdop,MFlowDelta,VFlowDelta,MFSADS,VInADS,PumpADS,MFSVolt,PumpsON,Dead,BCS1,BCS2,BC_NPG
0:00:05,1591122626,2020-06-02T18:30:26,1.006,0.08,28.07,28.43,29.38,846.61,846.81,101.483330,27.16,0.9748,553,0,9.400,0.98028,2.88,32834,40.542096,-105.098215,1552.6,5,0.303774,0,28.7,18.8,21.7,0.005,0.006,10520,5874,8573,1.315,1,0,0,1,0
0:00:06,1591122627,2020-06-02T18:30:27,1.001,0.10,28.06,28.42,29.36,846.56,846.76,101.766670,27.15,0.9748,553,0,9.392,0.97532,2.88,32834,40.542096,-105.098215,1552.6,5,0.303774,0,28.7,18.8,21.7,0.000,0.001,10494,5874,8565,1.312,1,0,0,1,0
0:00:07,1591122628,2020-06-02T18:30:29,1.004,0.12,28.06,28.42,29.35,846.61,846.76,103.933334,27.13,0.9748,553,0,9.393,0.97894,2.88,32834,40.542096,-105.098215,1552.6,5,0.303774,0,28.8,18.8,21.8,0.004,0.004,10513,5874,8566,1.314,1,0,0,1,0
0:00:08,1591122629,2020-06-02T18:30:30,0.997,0.13,28.07,28.44,29.39,846.61,846.78,103.533333,27.08,0.9748,553,0,9.392,0.97208,2.88,32834,40.542096,-105.098215,1552.6,5,0.303774,0,28.8,18.8,21.8,-0.003,-0.003,10477,5874,8565,1.310,1,0,0,1,0
0:00:09,1591122630,2020-06-02T18:30:31,0.998,0.15,28.07,28.42,29.40,846.56,846.78,103.166664,27.08,0.9748,553,0,9.394,0.97284,2.88,32834,40.542094,-105.098216,1551.3,6,0.094576,1,14.3,9.4,10.8,-0.002,-0.002,10481,5874,8567,1.310,1,0,0,1,0
0:00:10,1591122631,2020-06-02T18:30:32,0.998,0.17,28.07,28.43,29.38,846.61,846.78,102.000000,27.06,0.9748,553,0,9.393,0.97265,2.88,32834,40.542097,-105.098216,1551.1,6,0.176816,1,14.3,9.4,10.8,-0.002,-0.002,10480,5874,8566,1.310,1,0,0,1,0
0:00:11,1591122632,2020-06-02T18:30:33,1.002,0.18,28.07,28.44,29.34,846.59,846.87,101.566666,27.04,0.9749,553,0,9.392,0.97703,2.88,32834,40.542099,-105.098219,1550.7,6,0.358258,1,14.3,9.4,10.8,0.002,0.002,10503,5874,8565,1.313,1,0,0,1,0
0:00:12,1591122633,2020-06-02T18:30:35,1.005,0.20,28.07,28.44,29.38,846.59,846.90,104.550003,27.00,0.9750,553,0,9.392,0.97970,2.88,32834,40.542095,-105.098217,1550.3,6,0.358258,1,14.3,9.4,10.7,0.005,0.005,10517,5874,8565,1.315,1,0,0,1,0
0:00:13,1591122634,2020-06-02T18:30:36,1.002,0.22,28.07,28.45,29.38,846.61,846.78,103.433334,26.94,0.9748,553,0,9.392,0.97665,2.88,32834,40.542094,-105.098216,1550.1,6,0.437414,1,14.2,9.4,10.7,0.002,0.002,10501,5874,8565,1.313,1,0,0,1,0
0:00:14,1591122635,2020-06-02T18:30:37,1.007,0.23,28.07,28.45,29.42,846.61,846.81,104.449997,26.92,0.9749,554,0,9.393,0.98219,2.88,32834,40.542084,-105.098211,1549.6,6,0.033924,1,14.2,9.3,10.7,0.007,0.007,10530,5874,8566,1.316,1,0,0,1,0
