(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(integer),(-),(-),(-),(g*min^-1*x^sec^-1),(L*min^-1*x^sec^-1),(integer),(integer),(integer),(V),(bool),(bool),(bool),(bool),(bool)
SampleTime,UnixTime,UTCDateTime,VolFlow,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,gpsspeed,gpsquality,GPSpdop,GPShdop,GPSvdop,MFlowDelta,VFlowDelta,MFSADS,VInADS,PumpADS,MFSVolt,PumpsON,Dead,BCS1,BCS2,BC_NPG
0:00:50,1591122671,2020-06-02T18:31:21,0.998,0.83,28.23,28.56,29.57,846.60,846.85,101.199997,26.31,0.9745,557,0,9.363,0.97265,2.88,32834,40.542074,-105.098226,1545.3,7,0.061166,1,13.5,8.8,10.2,-0.002,-0.002,10480,5874,8539,1.310,1,0,0,1,0
0:00:51,1591122672,2020-06-02T18:31:22,1.001,0.85,28.23,28.55,29.59,846.63,846.85,103.433334,26.30,0.9745,557,0,9.364,0.97512,2.88,32834,40.542081,-105.098233,1545.1,7,0.243122,1,13.5,8.8,10.2,0.001,0.001,10493,5874,8540,1.312,1,0,0,1,0
0:00:52,1591122673,2020-06-02T18:31:24,1.005,0.87,28.23,28.55,29.66,846.63,846.88,101.866669,26.29,0.9745,557,0,9.364,0.97932,2.88,32834,40.542053,-105.098212,1544.8,7,0.124902,1,13.4,8.8,10.2,0.005,0.005,10515,5874,8540,1.314,1,0,0,1,0
0:00:53,1591122674,2020-06-02T18:31:25,1.005,0.88,28.24,28.56,29.65,846.63,846.90,103.250000,26.29,0.9745,557,0,9.365,0.97932,2.88,32834,40.542044,-105.098209,1544.4,7,0.240038,1,13.4,8.8,10.2,0.005,0.005,10515,5874,8541,1.314,1,0,0,1,0
0:00:54,1591122675,2020-06-02T18:31:26,0.998,0.90,28.23,28.56,29.64,846.60,846.79,102.900002,26.28,0.9744,557,0,9.364,0.97227,2.88,32834,40.542082,-105.098208,1551.7,8,0.319194,1,5.8,4.2,3.9,-0.002,-0.002,10478,5874,8540,1.310,1,0,0,1,0
0:00:55,1591122676,2020-06-02T18:31:27,1.006,0.92,28.24,28.54,29.63,846.61,846.92,102.949997,26.25,0.9745,558,0,9.365,0.98085,2.88,32834,40.542114,-105.098203,1559.0,8,0.538672,1,5.8,4.2,3.9,0.006,0.006,10523,5874,8541,1.315,1,0,0,1,0
0:00:56,1591122677,2020-06-02T18:31:28,0.993,0.93,28.25,28.55,29.63,846.63,846.96,102.333336,26.24,0.9745,557,0,9.356,0.96772,2.88,32834,40.542136,-105.098203,1563.1,8,0.480076,1,5.8,4.2,3.9,-0.007,-0.007,10454,5874,8533,1.307,1,0,0,1,0
0:00:57,1591122678,2020-06-02T18:31:30,1.004,0.95,28.25,28.55,29.61,846.63,846.96,103.800003,26.22,0.9746,557,0,9.364,0.97799,2.88,32834,40.542140,-105.098205,1563.0,7,0.176816,1,13.4,8.7,10.1,0.003,0.004,10508,5874,8540,1.314,1,0,0,1,0
0:00:58,1591122679,2020-06-02T18:31:31,1.000,0.97,28.26,28.55,29.65,846.63,846.88,101.283333,26.23,0.9744,557,0,9.364,0.97436,2.88,32834,40.542143,-105.098206,1562.7,7,0.052428,1,13.3,8.7,10.1,-0.000,-0.000,10489,5874,8540,1.311,1,0,0,1,0
0:00:59,1591122680,2020-06-02T18:31:32,1.000,0.98,28.25,28.54,29.65,846.58,846.84,103.266670,26.20,0.9744,557,0,9.364,0.97436,2.88,32834,40.542141,-105.098206,1562.1,7,0.186582,1,13.3,8.7,10.1,-0.000,-0.000,10489,5874,8540,1.311,1,0,0,1,0
0:01:00,1591122681,2020-06-02T18:31:33,0.999,1.00,28.26,28.55,29.63,846.60,847.00,103.266670,26.20,0.9746,557,0,9.364,0.97360,2.88,32834,40.542148,-105.098206,1562.2,7,0.456432,1,13.3,8.7,10.1,-0.001,-0.001,10485,5874,8540,1.311,1,0,0,1,0
0:01:01,1591122682,2020-06-02T18:31:34,1.002,1.02,28.28,28.58,29.68,846.55,847.00,101.916664,26.18,0.9745,557,0,9.364,0.97646,2.88,32834,40.542154,-105.098206,1562.1,7,0.587502,1,13.3,8.7,10.0,0.002,0.002,10500,5874,8540,1.313,1,0,0,1,0
0:01:02,1591122683,2020-06-02T18:31:35,1.000,1.03,28.28,28.56,29.65,846.65,846.95,102.533333,26.18,0.9744,557,0,9.364,0.97398,2.88,32834,40.542138,-105.098202,1559.6,8,0.308400,1,5.8,4.2,3.9,-0.000,-0.000,10487,5874,8540,1.311,1,0,0,1,0
0:01:03,1591122684,2020-06-02T18:31:37,1.005,1.05,28.28,28.58,29.66,846.60,846.95,103.033333,26.16,0.9744,557,0,9.365,0.97913,2.88,32834,40.542130,-105.098201,1558.4,8,0.197376,1,5.8,4.2,3.9,0.005,0.005,10514,5874,8541,1.314,1,0,0,1,0
0:01:04,1591122685,2020-06-02T18:31:38,1.003,1.07,28.28,28.58,29.67,846.55,846.90,101.983330,26.16,0.9744,557,0,9.364,0.97741,2.88,32834,40.542120,-105.098203,1555.5,8,0.497038,1,5.8,4.2,3.9,0.003,0.003,10505,5874,8540,1.313,1,0,0,1,0
0:01:05,1591122686,2020-06-02T18:31:39,1.002,1.08,28.30,28.55,29.67,846.57,847.00,102.116669,26.15,0.9744,557,0,9.364,0.97684,2.88,32834,40.542120,-105.098200,1555.3,8,0.365454,1,5.8,4.2,3.9,0.002,0.002,10502,5874,8540,1.313,1,0,0,1,0
0:01:06,1591122687,2020-06-02T18:31:40,0.998,1.10,28.31,28.56,29.69,846.65,846.92,102.849998,26.14,0.9743,557,0,9.364,0.97265,2.88,32834,40.542120,-105.098198,1554.9,8,0.413256,1,5.8,4.2,3.9,-0.002,-0.002,10480,5874,8540,1.310,1,0,0,1,0
0:01:07,1591122688,2020-06-02T18:31:41,1.005,1.12,28.30,28.58,29.69,846.62,846.90,103.183334,26.13,0.9743,558,0,9.365,0.97932,2.88,32834,40.542116,-105.098192,1554.4,8,0.301204,1,5.8,4.2,3.9,0.005,0.005,10515,5874,8541,1.314,1,0,0,1,0
0:01:08,1591122689,2020-06-02T18:31:43,0.994,1.13,28.30,28.56,29.68,846.57,846.98,102.316666,26.13,0.9744,557,0,9.358,0.96904,2.88,32834,40.542103,-105.098187,1553.1,8,0.378818,1,5.8,4.2,3.9,-0.005,-0.006,10461,5874,8534,1.308,1,0,0,1,0
0:01:09,1591122690,2020-06-02T18:31:44,0.998,1.15,28.31,28.57,29.69,846.65,846.92,103.466667,26.12,0.9743,557,0,9.364,0.97246,2.88,32834,40.542101,-105.098185,1553.1,8,0.416340,1,5.8,4.2,3.9,-0.002,-0.002,10479,5874,8540,1.310,1,0,0,1,0
0:01:10,1591122691,2020-06-02T18:31:45,1.003,1.17,28.31,28.55,29.69,846.65,846.92,103.566666,26.10,0.9743,557,0,9.363,0.97741,2.88,32834,40.542098,-105.098183,1552.7,8,0.149060,1,5.8,4.2,3.9,0.003,0.003,10505,5874,8539,1.313,1,0,0,1,0
0:01:11,1591122692,2020-06-02T18:31:46,1.004,1.18,28.32,28.56,29.69,846.65,846.91,103.300003,26.09,0.9743,557,0,9.365,0.97856,2.88,32834,40.542092,-105.098179,1552.1,8,0.037522,1,5.8,4.2,3.9,0.004,0.004,10511,5874,8541,1.314,1,0,0,1,0
0:01:12,1591122693,2020-06-02T18:31:47,0.999,1.20,28.33,28.56,29.70,846.62,846.92,101.250000,26.08,0.9742,557,0,9.364,0.97303,2.88,32834,40.542089,-105.098179,1551.5,7,0.043176,1,13.1,8.6,9.9,-0.001,-0.001,10482,5874,8540,1.310,1,0,0,1,0
0:01:13,1591122694,2020-06-02T18:31:49,1.005,1.22,28.33,28.58,29.71,846.59,847.00,102.516670,26.04,0.9743,557,0,9.363,0.97894,2.88,32834,40.542081,-105.098175,1550.1,7,0.063222,1,13.1,8.5,9.9,0.005,0.005,10513,5874,8539,1.314,1,0,0,1,0
0:01:14,1591122695,2020-06-02T18:31:50,1.005,1.23,28.33,28.57,29.69,846.57,847.02,103.533333,26.02,0.9744,557,0,9.363,0.97913,2.88,32834,40.542079,-105.098176,1549.4,7,0.158826,1,13.0,8.5,9.9,0.005,0.005,10514,5874,8539,1.314,1,0,0,1,0
0:01:15,1591122696,2020-06-02T18:31:51,0.997,1.25,28.33,28.56,29.75,846.57,846.95,101.349998,26.02,0.9743,557,0,9.363,0.97151,2.88,32834,40.542081,-105.098176,1549.9,8,0.078128,1,5.8,4.2,4.0,-0.003,-0.003,10474,5874,8539,1.309,1,0,0,1,0
0:01:16,1591122697,2020-06-02T18:31:52,1.004,1.27,28.34,28.58,29.73,846.62,846.95,103.616669,26.01,0.9743,557,0,9.363,0.97779,2.88,32834,40.542083,-105.098174,1550.1,8,0.048316,1,5.8,4.2,4.0,0.004,0.004,10507,5874,8539,1.313,1,0,0,1,0
0:01:17,1591122698,2020-06-02T18:31:53,1.003,1.28,28.34,28.58,29.70,846.62,847.02,102.716667,26.00,0.9743,557,0,9.364,0.97760,2.88,32834,40.542089,-105.098177,1550.7,8,0.222048,1,5.8,4.2,4.0,0.003,0.003,10506,5874,8540,1.313,1,0,0,1,0
0:01:18,1591122699,2020-06-02T18:31:55,1.006,1.30,28.35,28.59,29.75,846.59,846.95,102.816666,26.01,0.9742,558,0,9.365,0.98047,2.88,32834,40.542101,-105.098180,1552.0,8,0.152658,1,5.8,4.2,4.0,0.006,0.006,10521,5874,8541,1.315,1,0,0,1,0
0:01:19,1591122700,2020-06-02T18:31:56,1.005,1.32,28.35,28.58,29.74,846.59,846.98,102.983330,26.00,0.9743,558,0,9.355,0.97913,2.88,32834,40.542103,-105.098181,1552.4,8,0.079670,1,5.8,4.2,4.0,0.005,0.005,10514,5874,8532,1.314,1,0,0,1,0
0:01:20,1591122701,2020-06-02T18:31:57,0.997,1.33,28.36,28.60,29.76,846.59,847.05,101.566666,25.98,0.9743,558,0,9.359,0.97113,2.88,32834,40.542109,-105.098184,1553.4,8,0.147518,1,5.8,4.2,4.0,-0.003,-0.003,10472,5874,8535,1.309,1,0,0,1,0
0:01:21,1591122702,2020-06-02T18:31:58,1.002,1.35,28.36,28.59,29.75,846.64,846.99,103.616669,25.98,0.9742,558,0,9.356,0.97646,2.88,32834,40.542117,-105.098183,1554.4,8,0.058596,1,5.8,4.2,4.0,0.002,0.002,10500,5874,8533,1.313,1,0,0,1,0
0:01:22,1591122703,2020-06-02T18:31:59,0.998,1.37,28.36,28.58,29.74,846.56,846.99,100.949997,25.96,0.9742,558,0,9.358,0.97265,2.88,32834,40.542122,-105.098183,1555.5,8,0.211254,1,5.8,4.2,4.0,-0.002,-0.002,10480,5874,8534,1.310,1,0,0,1,0
0:01:23,1591122704,2020-06-02T18:32:00,0.999,1.38,28.37,28.58,29.76,846.58,846.99,102.916664,25.96,0.9742,558,0,9.356,0.97341,2.88,32834,40.542130,-105.098185,1557.0,8,0.148032,1,5.8,4.2,4.0,-0.001,-0.001,10484,5874,8533,1.311,1,0,0,1,0
0:01:24,1591122705,2020-06-02T18:32:02,1.004,1.40,28.37,28.58,29.77,846.58,846.98,102.716667,25.94,0.9742,558,0,9.356,0.97818,2.88,32834,40.542151,-105.098188,1558.9,8,0.069904,1,5.8,4.2,4.0,0.004,0.004,10509,5874,8533,1.314,1,0,0,1,0
0:01:25,1591122706,2020-06-02T18:32:03,0.994,1.42,28.37,28.58,29.76,846.61,847.05,101.500000,25.93,0.9743,557,0,9.358,0.96885,2.88,32834,40.542160,-105.098191,1560.1,8,0.057568,1,5.8,4.2,4.0,-0.005,-0.006,10460,5874,8534,1.308,1,0,0,1,0
0:01:26,1591122707,2020-06-02T18:32:04,1.005,1.44,28.38,28.58,29.76,846.58,847.07,103.900002,25.92,0.9743,557,0,9.364,0.97875,2.88,32834,40.542175,-105.098195,1561.7,8,0.168592,1,5.8,4.2,4.0,0.004,0.005,10512,5874,8540,1.314,1,0,0,1,0
0:01:27,1591122708,2020-06-02T18:32:05,1.000,1.45,28.39,28.60,29.76,846.61,847.02,101.466667,25.91,0.9742,557,0,9.363,0.97398,2.88,32834,40.542180,-105.098194,1563.0,8,0.203030,1,5.8,4.2,4.0,-0.000,-0.000,10487,5874,8539,1.311,1,0,0,1,0
0:01:28,1591122709,2020-06-02T18:32:06,1.000,1.47,28.39,28.57,29.82,846.58,846.95,103.216667,25.91,0.9741,557,0,9.363,0.97398,2.88,32834,40.542186,-105.098194,1564.2,8,0.326904,1,5.8,4.2,4.0,-0.000,-0.000,10487,5874,8539,1.311,1,0,0,1,0
0:01:29,1591122710,2020-06-02T18:32:08,1.005,1.49,28.38,28.58,29.77,846.58,846.99,103.533333,26.00,0.9742,557,0,9.362,0.97913,2.88,32834,40.542193,-105.098211,1566.2,8,0.765860,1,5.8,4.2,4.0,0.005,0.005,10514,5874,8538,1.314,1,0,0,1,0
0:01:30,1591122711,2020-06-02T18:32:09,1.004,1.50,28.39,28.60,29.80,846.61,846.99,103.933334,26.33,0.9741,557,0,9.364,0.97799,2.88,32834,40.542193,-105.098215,1566.9,8,0.593156,1,5.8,4.2,4.0,0.004,0.004,10508,5874,8540,1.314,1,0,0,1,0
